,Options Used for Dropdown Menu,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Primary Treatment,,,,,,,,,,,,Location,Region,,,Treatment Mapping Table,,,,,,,
,"Activities that focus on the removal, recycling, or structural improvement of pavement layers",,,,,,,,,,,S/N,Counties in Tennessee,Region,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,S/N,Treatment Type,,,Meaning,,,,,,,1,Anderson,1,,,S/N,Input,Primary,Secondary,Overlay,,,
,1,Milling,,,Removal of the top layer of pavement to eliminate surface irregularities or prepare for overlay.,,,,,,,2,Bedford,3,,,1,CS,,Chip Seal,,,,
,2,FDR,,,FDR (Full Depth Reclamation): Pulverizes the entire pavement layer and mixes it with stabilizing agents to create a strong base.,,,,,,,3,Benton,4,,,2,Mill,Milling,,,,,
,3,HIR,,,HIR (Hot In-Place Recycling): Heats and recycles the asphalt pavement on-site with rejuvenators to restore properties.,,,,,,,4,Bledsoe,2,,,3,411D,,,411D,,,
,4,CIR,,,CIR (Cold In-Place Recycling): Recycles asphalt pavement without heat by milling and stabilizing it with emulsions.,,,,,,,5,Blount,1,,,4,85 lb/sy TLD,,,85 lb/sy TLD,,,
,5,CAM,,,CAM (Cement Asphalt Mixture): Combines cement and asphalt with existing materials to stabilize and strengthen pavement.,,,,,,,6,Bradley,2,,,5,411D Overlay,,,411D,,,
,6,Spot,,,"Spot Repairs: Localized fixes (e.g., potholes, structural repairs) to address severe damage in small areas.",,,,,,,7,Campbell,1,,,6,85TL,,,85 lb/sy TLD,,,
,,,,,,,,,,,,8,Cannon,2,,,7,Profile Mill,Profile Mill,,,,,
,,,,,,,,,,,,9,Carroll,4,,,8,411TLD Overlay @ 85 lb/sy,,,85 lb/sy TLD,,,
,,,,,,,,,,,,10,Carter,1,,,9,Hot In-Place Recycling w/ Micro,HIR,Micro-surfacing @ 22 lbs/sy,,,,
,,,,,,,,,,,,11,Cheatham,3,,,10,85 lb/sy TLD,,,85 lb/sy TLD,,,
,,,,,,,,,,,,12,Chester,4,,,11,65 lb/sy TL,,,65 lb/sy TLD,,,
,Secondary Treatment,,,,,,,,,,,13,Claiborne,1,,,12,411TL Overlay @ 65 lb/sy,,,65 lb/sy TLD,,,
,"Techniques involving surface sealing and protection, typically without adding structural layers.",,,,,,,,,,,14,Clay,2,,,13,Cape Seal - Chip Seal plus Micro-surfacing,,Cape Seal,,,,
,,,,,,,,,,,,15,Cocke,1,,,14,OGFC,,,OGFC,,,
,S/N,Treatment Type,,,Meaning,,,,,,,16,Coffee,2,,,15,Crack Seal,,Crack Seal,,,,
,1,Chip Seal,,,Application of asphalt binder followed by a layer of aggregate to seal and protect the surface.,,,,,,,17,Crockett,4,,,16,Micro-surfacing @ 22 lbs/sy,,Micro-surfacing @ 22 lbs/sy,,,,
,2,Scrub Seal,,,"Similar to Chip Seal, but includes a brooming process to work the binder into cracks for better sealing.",,,,,,,18,Cumberland,2,,,17,Micro-surfacing @ 32 lbs/sy,,Micro-surfacing @ 32 lbs/sy,,,,
,3,Microsurfacing,,,"A thin layer of asphalt emulsion, aggregate, and additives applied to improve surface texture and longevity.",,,,,,,19,Davidson,3,,,18,HIR,HIR,,,,,
,4,Cape Seal,,, A combination of Chip Seal followed by Microsurfacing to enhance durability and aesthetics.,,,,,,,20,Decatur,4,,,19,Full Depth Reclamation (FDR) with 411D,FDR,,411D,,,
,5,Fog Seal,,,A thin spray of diluted asphalt emulsion applied to rejuvenate and protect aging asphalt.,,,,,,,21,DeKalb,2,,,20,Full Depth Reclamation (FDR),FDR,,,,,
,,,,,,,,,,,,22,Dickson,3,,,21,307CW Overlay,,,307CW,,,
,,,,,,,,,,,,23,Dyer,4,,,22,307CW,,,307CW,,,
,,,,,,,,,,,,24,Fayette,4,,,23,Seal,,Chip Seal,,,,
,,,,,,,,,,,,25,Fentress,2,,,24,Micro,,Micro-surfacing @ 22 lbs/sy,,,,
,,,,,,,,,,,,26,Franklin,2,,,25,FDR,FDR,,,,,
,Overlay Treatment,,,,,,,,,,,27,Gibson,4,,,26,85 lb/sy TL,,,85 lb/sy TLD,,,
,Processes that involve adding new structural or surface layers using asphalt mixes.,,,,,,,,,,,28,Giles,3,,,27,85 lb/sy TLD,,,85 lb/sy TLD,,,
,,,,,,,,,,,,29,Grainger,1,,,28,411TL @132.5 lb/sy,,,411TLD,,,
,S/N,Treatment Type,,,Meaning,,,,,,,30,Greene,1,,,29,411TL Overlay @ 85 lb/sy,,,85 lb/sy TLD,,,
,1,411D,,,Dense-graded asphalt mix designed for overlays to improve durability and surface performance.,,,,,,,31,Grundy,2,,,30,Scrub Seal,,Scrub Seal,,,,
,2,411TLD,,,"Thin-lift asphalt overlay that provides a smooth, long-lasting surface.",,,,,,,32,Hamblen,1,,,31,65 lb/sy TL,,,65 lb/sy TLD,,,
,3,307CW,,,Coarse-graded asphalt used for intermediate or surface layers in overlays.,,,,,,,33,Hamilton,2,,,32,Cape Seal - Scrub Seal plus Micro-surfacing,,Cape Seal,,,,
,4,OGFC,,, (Open-Graded Friction Course): Porous asphalt layer designed to improve skid resistance and reduce water spray.,,,,,,,34,Hancock,1,,,33,Double Chip Seal,,Chip Seal,,,,
,,,,,,,,,,,,35,Hardeman,4,,,34,DBST,,Chip Seal,,,,
,,,,,,,,,,,,36,Hardin,4,,,35,411TLD Overlay @ 65 lb/sy,,,65 lb/sy TLD,,,
,,,,,,,,,,,,37,Hawkins,1,,,36,CIR,CIR,,,,,
,,,,,,,,,,,,38,Haywood,4,,,37,Spot Leveling,Spot,,,,,
,,,,,,,,,,,,39,Henderson,4,,,38,Full depth rehab/replacement,FDR,,,,,
,,,,,,,,,,,,40,Henry,4,,,39,Microsurface @ 22lbs/sy /  Microsurface @ 32 lbs/sy,,Micro-surfacing @ 22 lbs/sy,,,,
,,,,,,,,,,,,41,Hickman,3,,,40,TLD 85 lbs/sy,,,411TLD,,,
,,,,,,,,,,,,42,Houston,3,,,41,411TLD,,,411TLD,,,
,,,,,,,,,,,,43,Humphreys,3,,,42,85 LB/SY Thin Lift,,,85 lb/sy TLD,,,
,,,,,,,,,,,,44,Jackson,2,,,43,CAM,CAM,,,,,
,,,,,,,,,,,,45,Jefferson,1,,,44,85 lb/sy 411TLD,,,85 lb/sy TLD,,,
,,,,,,,,,,,,46,Johnson,1,,,45,Fog Seal,,Fog Seal,,,,
,,,,,,,,,,,,47,Knox,1,,,46,D,,,411D,,,
,,,,,,,,,,,,48,Lake,4,,,47,sealing with rejuvenating fog seal,,Fog Seal,,,,
,,,,,,,,,,,,49,Lauderdale,4,,,48,C-W,CIR,,,,,
,,,,,,,,,,,,50,Lawrence,3,,,49,CW,CIR,,,,,
,,,,,,,,,,,,51,Lewis,3,,,50,110Lb/SY OGFC,,,OGFC,,,
,,,,,,,,,,,,52,Lincoln,3,,,51,1.5 CW,,,307CW,,,
,,,,,,,,,,,,53,Loudon,1,,,52,TLD,,,411TLD,,,
,,,,,,,,,,,,54,McMinn,2,,,53,Fog Seal,,Fog Seal,,,,
,,,,,,,,,,,,55,McNairy,4,,,54,Crack Sealing,,Crack Seal,,,,
,,,,,,,,,,,,56,Macon,3,,,55,85 LB/SY,,,85 lb/sy TLD,,,
,,,,,,,,,,,,57,Madison,4,,,56,TLD,,,411TLD,,,
,,,,,,,,,,,,58,Marion,2,,,57,C-W Mix @ 165 lbs/sy,,,307CW,,,
,,,,,,,,,,,,59,Marshall,3,,,58,Thin lift @ 65 lbs/sy,,,65 lb/sy TLD,,,
,,,,,,,,,,,,60,Maury,3,,,59,411TL D,,,411TLD,,,
,,,,,,,,,,,,61,Meigs,2,,,60,Full-depth PCC repair,FDR,,,,,
,,,,,,,,,,,,62,Monroe,1,,,61,CRS2P DBST,,Chip Seal,,,,
,,,,,,,,,,,,63,Montgomery,3,,,62,"CW Mix 1.25""",,,307CW,,,
,,,,,,,,,,,,64,Moore,3,,,63,MILL,Milling,,,,,
,,,,,,,,,,,,65,Morgan,1,,,64,411TLD @ 85 lbs/sy,,,85 lb/sy TLD,,,
,,,,,,,,,,,,66,Obion,4,,,65,411TLD @ 132.5 lbs/sy,,,411TLD,,,
,,,,,,,,,,,,67,Overton,2,,,66,TLD,,,411TLD,,,
,,,,,,,,,,,,68,Perry,3,,,67,Hot In-Place Recycling w/ 411TLD,HIR,,411TLD,,,
,,,,,,,,,,,,69,Pickett,2,,,68,Micro,,Micro-surfacing @ 22 lbs/sy,,,,
,,,,,,,,,,,,70,Polk,2,,,69,Hot In-Place Recycling,HIR,,,,,
,,,,,,,,,,,,71,Putnam,2,,,70,C,,Cape Seal,,,,
,,,,,,,,,,,,72,Rhea,2,,,71,Spot,Spot,,,,,
,,,,,,,,,,,,73,Roane,1,,,72,Chip Seal,,Chip Seal,,,,
,,,,,,,,,,,,74,Robertson,3,,,73,Scrub Seal or Crack Seal,,Scrub Seal,,,,
,,,,,,,,,,,,75,Rutherford,3,,,74,Hot Recycle in Place w/ 411TLD,HIR,,411TLD,,,
,,,,,,,,,,,,76,Scott,1,,,75,411D @ 159 lb/sy,,,411D,,,
,,,,,,,,,,,,77,Sequatchie,2,,,76,Micro-surfacing,,Micro-surfacing @ 22 lbs/sy,,,,
,,,,,,,,,,,,78,Sevier,1,,,77,,,,,,,
,,,,,,,,,,,,79,Shelby,4,,,78,,,,,,,
,,,,,,,,,,,,80,Smith,3,,,79,,,,,,,
,,,,,,,,,,,,81,Stewart,3,,,80,,,,,,,
,,,,,,,,,,,,82,Sullivan,1,,,81,,,,,,,
,,,,,,,,,,,,83,Sumner,3,,,,,,,,,,
,,,,,,,,,,,,84,Tipton,4,,,,,,,,,,
,,,,,,,,,,,,85,Trousdale,3,,,,,,,,,,
,,,,,,,,,,,,86,Unicoi,1,,,,,,,,,,
,,,,,,,,,,,,87,Union,1,,,,,,,,,,
,,,,,,,,,,,,88,Van Buren,2,,,,,,,,,,
,,,,,,,,,,,,89,Warren,2,,,,,,,,,,
,,,,,,,,,,,,90,Washington,1,,,,,,,,,,
,,,,,,,,,,,,91,Wayne,3,,,,,,,,,,
,,,,,,,,,,,,92,Weakley,4,,,,,,,,,,
,,,,,,,,,,,,93,White,2,,,,,,,,,,
,,,,,,,,,,,,94,Williamson,3,,,,,,,,,,
,,,,,,,,,,,,95,Wilson,3,,,,,,,,,,
,,,,,,,,,,,,96,None,0,,,,,,,,,,
